220929, 과실류, 포도, 기타포도, 1, 0, 675.0
220929, 엽경채류, 미나리, 미나리, 1, 0, 409.33334
220929, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220929, 엽경채류, 상추, 청상추, 1, 0, 225.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 240.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 355.0
220929, 조미채소류, 쪽파, 쪽파, 1, 0, 387.5
220929, 과일과채류, 토마토, 토마토, 1, 0, 340.0
220929, 과채류, 가지, 가지, 1, 0, 200.0
220929, 엽경채류, 시금치, 시금치, 1, 0, 470.0
220929, 과일과채류, 수박, 수박, 1, 0, 61.53846
220929, 과실류, 단감, 기타단감, 1, 0, 250.0
220929, 과채류, 호박, 애호박, 1, 0, 223.75
220929, 과일과채류, 수박, 수박, 1, 0, 130.76923
220929, 과채류, 가지, 가지, 1, 0, 200.0
220929, 과채류, 호박, 애호박, 1, 0, 275.0
220929, 엽경채류, 고추잎, 생고추잎, 1, 0, 275.0
220929, 과실류, 단감, 상서, 1, 0, 250.0
220929, 과실류, 단감, 상서, 1, 0, 300.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 712.5
220929, 과실류, 단감, 기타단감, 1, 0, 160.0
220929, 과실류, 자두, 추희, 1, 0, 400.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 과실류, 단감, 기타단감, 1, 0, 30.0
220929, 과실류, 배, 신고, 1, 0, 110.0
220929, 과채류, 오이, 백다다기, 1, 0, 387.77777
220929, 엽경채류, 갓, 기타갓, 1, 0, 162.5
220929, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220929, 과실류, 감귤, 극조생감귤, 1, 0, 350.0
220929, 엽경채류, 열무, 열무, 1, 0, 87.5
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 562.5
220929, 엽경채류, 시금치, 시금치, 1, 0, 400.0
220929, 과채류, 가지, 가지, 1, 0, 312.5
220929, 서류, 고구마, 밤고구마, 1, 0, 96.0
220929, 과실류, 단감, 부유, 1, 0, 210.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220929, 과채류, 가지, 가지, 1, 0, 312.5
